Name,NOC,Year,Number of Sports Athlete Plays,Number of Events Athlete Competes In,Number of Games Athlete Competed In,Won_Gold_True,Won_Silver_True,Won_Bronze_True,Athlete's Gold Medals,Athlete's Silver Medals,Athlete's Bronze Medals,Male_True
A Lamusi,CHN,2012,1,1,1,0,0,0,0,0,0,1
Jyri Aalto,FIN,2000,1,1,1,0,0,0,0,0,0,1
Minna Aalto,FIN,2000,1,1,1,0,0,0,0,0,0,0
Timo Aaltonen,FIN,2000,1,1,1,0,0,0,0,0,0,1
Ragnhild Aamodt,NOR,2008,1,1,1,1,0,0,1,0,0,0
Andreea Aanei,ROU,2016,1,1,1,0,0,0,0,0,0,0
Fritz Aanes,NOR,2000,1,1,2,0,0,0,0,0,0,1
Fritz Aanes,NOR,2004,1,1,2,0,0,0,0,0,0,1
Pepijn Aardewijn,NED,2000,1,1,1,0,0,0,0,0,0,1
Jamale (ahrass-),FRA,2012,1,1,1,0,0,0,0,0,0,1
Stefan Aartsen,NED,2000,1,2,1,0,0,0,0,0,0,1
Abdelhak Aatakni,MAR,2012,1,1,1,0,0,0,0,0,0,1
Moonika Aava,EST,2004,1,1,2,0,0,0,0,0,0,0
Moonika Aava,EST,2008,1,1,2,0,0,0,0,0,0,0
Nstor Sanjun,ESP,2016,1,6,1,0,0,0,0,0,0,1
Talaat Abada,EGY,2000,1,1,1,0,0,0,0,0,0,1
Antonio Beci,ESP,2016,1,1,1,0,0,0,0,0,0,1
Giovanni Abagnale,ITA,2016,1,2,2,0,0,1,0,0,1,1
Jos Gmez,ESP,2008,3,3,3,0,0,1,0,0,1,1
Patimat Abakarova,AZE,2016,1,1,1,0,0,1,0,0,1,0
Mariya (-tarabina),RUS,2008,1,1,2,0,1,0,0,1,0,0
Mariya (-tarabina),RUS,2012,1,1,2,0,0,0,0,1,0,0
Pablo Abal,ARG,2000,1,2,1,0,0,0,0,0,0,1
Tamara Daz,ESP,2008,1,1,1,0,0,0,0,0,0,0
Jess Martnez,CUB,2000,2,6,2,0,0,0,0,0,0,1
Aleksey Abalmasov,BLR,2004,1,1,2,0,0,0,1,0,0,1
Aleksey Abalmasov,BLR,2008,1,1,2,1,0,0,1,0,0,1
Luc Abalo,FRA,2008,1,2,4,1,0,0,3,1,0,1
Luc Abalo,FRA,2012,1,2,4,1,0,0,3,1,0,1
Luc Abalo,FRA,2016,1,2,4,0,1,0,3,1,0,1
