Rank,NOC,Gold,Silver,Bronze,Total,Year,Hosting
1,USA,37,24,32,93,2000,False
3,CHN,28,16,14,58,2000,False
4,AUS,16,25,17,58,2000,True
5,DEU,13,17,26,56,2000,False
6,FRA,13,14,11,38,2000,False
7,ITA,13,8,13,34,2000,False
8,NLD,12,9,4,25,2000,False
9,CUB,11,11,7,29,2000,False
10,GBR,11,10,7,28,2000,False
11,ROU,11,6,9,26,2000,False
13,HUN,8,6,3,17,2000,False
14,POL,6,5,3,14,2000,False
15,JPN,5,8,5,18,2000,False
16,BGR,5,6,2,13,2000,False
17,GRC,4,6,3,13,2000,False
18,SWE,4,5,3,12,2000,False
19,NOR,4,3,3,10,2000,False
20,ETH,4,1,3,8,2000,False
21,UKR,3,10,10,23,2000,False
22,KAZ,3,4,0,7,2000,False
23,BLR,3,3,11,17,2000,False
24,CAN,3,3,8,14,2000,False
25,ESP,3,3,5,11,2000,False
26,TUR,3,0,2,5,2000,False
29,KEN,2,3,2,7,2000,False
30,DNK,2,3,1,6,2000,False
31,FIN,2,1,1,4,2000,False
32,AUT,2,1,0,3,2000,False
33,LTU,2,0,3,5,2000,False
34,AZE,2,0,1,3,2000,False
34,BHS,2,0,1,3,2000,False
36,SVN,2,0,0,2,2000,False
37,CHE,1,6,2,9,2000,False
38,IDN,1,3,2,6,2000,False
39,SVK,1,3,1,5,2000,False
40,MEX,1,2,3,6,2000,False
41,NGA,1,2,0,3,2000,False
42,DZA,1,1,3,5,2000,False
43,UZB,1,1,2,4,2000,False
44,LVA,1,1,1,3,2000,False
46,NZL,1,0,3,4,2000,False
47,EST,1,0,2,3,2000,False
47,THA,1,0,2,3,2000,False
49,HRV,1,0,1,2,2000,False
50,CMR,1,0,0,1,2000,False
50,COL,1,0,0,1,2000,False
50,MOZ,1,0,0,1,2000,False
53,BRA,0,6,6,12,2000,False
54,JAM,0,6,3,9,2000,False
55,BEL,0,2,3,5,2000,False
55,ZAF,0,2,3,5,2000,False
57,ARG,0,2,2,4,2000,False
