Rank,NOC,Gold,Silver,Bronze,Total,Year,Total_Athletes_in_Team,Gold_Winning_Athletes,Silver_Winning_Athletes,Bronze_Winning_Athletes,Athletes_Who_Returned,Multi_Event_Athletes,Average Team Rating
1,USA,37,24,32,93,2000,586.0,99.0,51.0,30.0,197.0,155.0,5.167063817896195
3,CHN,28,16,14,58,2000,266.0,23.0,9.0,12.0,97.0,102.0,4.69173353534877
4,AUS,16,25,17,58,2000,617.0,46.0,47.0,45.0,199.0,150.0,4.523068286399973
5,DEU,13,17,26,56,2000,,,,,,,
6,FRA,13,14,11,38,2000,336.0,14.0,21.0,12.0,110.0,96.0,4.276229458417514
7,ITA,13,8,13,34,2000,361.0,11.0,10.0,24.0,137.0,82.0,4.579656777755471
8,NLD,12,9,4,25,2000,,,,,,,
9,CUB,11,11,7,29,2000,229.0,18.0,32.0,8.0,74.0,50.0,4.33368635406303
10,GBR,11,10,7,28,2000,309.0,22.0,15.0,11.0,122.0,110.0,4.754204819838839
11,ROU,11,6,9,26,2000,145.0,11.0,4.0,7.0,58.0,52.0,4.843368643884028
13,HUN,8,6,3,17,2000,178.0,20.0,21.0,4.0,78.0,56.0,5.2907713653627235
14,POL,6,5,3,14,2000,187.0,5.0,6.0,5.0,70.0,58.0,4.211144929432961
15,JPN,5,8,5,18,2000,266.0,5.0,28.0,4.0,81.0,74.0,4.007883075399411
16,BGR,5,6,2,13,2000,,,,,,,
17,GRC,4,6,3,13,2000,,,,,,,
18,SWE,4,5,3,12,2000,150.0,1.0,17.0,5.0,57.0,49.0,4.374911676688686
19,NOR,4,3,3,10,2000,93.0,19.0,4.0,19.0,24.0,20.0,4.580411206493532
20,ETH,4,1,3,8,2000,26.0,4.0,0.0,3.0,8.0,4.0,3.9852434301820026
21,UKR,3,10,10,23,2000,230.0,1.0,7.0,10.0,93.0,84.0,4.284810520875877
22,KAZ,3,4,0,7,2000,130.0,3.0,4.0,0.0,47.0,34.0,3.8258336929747223
23,BLR,3,3,11,17,2000,139.0,3.0,7.0,9.0,51.0,54.0,4.505778023700579
24,CAN,3,3,8,14,2000,294.0,2.0,2.0,18.0,97.0,98.0,3.7828183670616466
25,ESP,3,3,5,11,2000,316.0,2.0,19.0,18.0,133.0,92.0,4.452150290567602
26,TUR,3,0,2,5,2000,57.0,3.0,0.0,2.0,25.0,15.0,4.039622970164992
29,KEN,2,3,2,7,2000,56.0,2.0,3.0,2.0,17.0,7.0,3.782818367061647
30,DNK,2,3,1,6,2000,,,,,,,
31,FIN,2,1,1,4,2000,70.0,3.0,0.0,1.0,22.0,14.0,3.552559857762242
32,AUT,2,1,0,3,2000,92.0,3.0,1.0,0.0,31.0,26.0,3.8793553197182296
33,LTU,2,0,3,5,2000,61.0,2.0,0.0,15.0,27.0,16.0,4.98264315205269
34,AZE,2,0,1,3,2000,31.0,2.0,0.0,1.0,12.0,6.0,4.010954678118661
34,BHS,2,0,1,3,2000,,,,,,,
36,SVN,2,0,0,2,2000,,,,,,,
37,CHE,1,6,2,9,2000,,,,,,,
38,IDN,1,3,2,6,2000,,,,,,,
39,SVK,1,3,1,5,2000,108.0,2.0,1.0,1.0,37.0,25.0,4.221406003822417
40,MEX,1,2,3,6,2000,78.0,1.0,2.0,3.0,26.0,30.0,3.808121499951691
41,NGA,1,2,0,3,2000,,,,,,,
42,DZA,1,1,3,5,2000,,,,,,,
43,UZB,1,1,2,4,2000,70.0,1.0,1.0,2.0,25.0,20.0,4.013076876361051
44,LVA,1,1,1,3,2000,,,,,,,
46,NZL,1,0,3,4,2000,147.0,1.0,0.0,3.0,42.0,25.0,3.3050711198758074
47,EST,1,0,2,3,2000,33.0,1.0,0.0,2.0,17.0,12.0,4.535394880139787
47,THA,1,0,2,3,2000,52.0,1.0,0.0,2.0,20.0,12.0,3.8966824650668466
49,HRV,1,0,1,2,2000,,,,,,,
50,CMR,1,0,0,1,2000,34.0,18.0,0.0,0.0,5.0,6.0,4.063385458224787
50,COL,1,0,0,1,2000,44.0,1.0,0.0,0.0,18.0,16.0,3.820197995194667
50,MOZ,1,0,0,1,2000,4.0,1.0,0.0,0.0,1.0,0.0,4.02952391273958
53,BRA,0,6,6,12,2000,196.0,0.0,7.0,28.0,100.0,45.0,5.615488134954868
54,JAM,0,6,3,9,2000,48.0,0.0,9.0,2.0,24.0,22.0,5.612551164172987
55,BEL,0,2,3,5,2000,68.0,0.0,2.0,2.0,20.0,25.0,3.5893238214318948
55,ZAF,0,2,3,5,2000,,,,,,,
57,ARG,0,2,2,4,2000,142.0,0.0,16.0,3.0,67.0,27.0,4.8159702297128995
58,TPE,0,1,4,5,2000,55.0,0.0,1.0,4.0,12.0,17.0,3.349214680718612
58,MAR,0,1,4,5,2000,55.0,0.0,1.0,4.0,16.0,5.0,3.558540598263525
60,PRK,0,1,3,4,2000,31.0,0.0,1.0,3.0,7.0,6.0,3.491016108732908
61,MDA,0,1,1,2,2000,34.0,0.0,1.0,1.0,18.0,8.0,4.266554731136027
61,SAU,0,1,1,2,2000,,,,,,,
61,TTO,0,1,1,2,2000,19.0,0.0,1.0,0.0,8.0,10.0,4.726358875093042
64,IRL,0,1,0,1,2000,64.0,0.0,1.0,0.0,23.0,21.0,3.7057228840372924
64,LKA,0,1,0,1,2000,,,,,,,
64,URY,0,1,0,1,2000,,,,,,,
68,GEO,0,0,6,6,2000,36.0,0.0,0.0,6.0,18.0,9.0,4.797052277070929
69,CRI,0,0,2,2,2000,,,,,,,
69,PRT,0,0,2,2,2000,,,,,,,
71,ARM,0,0,1,1,2000,25.0,0.0,0.0,1.0,10.0,6.0,3.4078259376311877
71,BRB,0,0,1,1,2000,,,,,,,
71,CHL,0,0,1,1,2000,,,,,,,
71,ISL,0,0,1,1,2000,18.0,0.0,0.0,1.0,9.0,7.0,4.093484609767192
71,IND,0,0,1,1,2000,65.0,0.0,0.0,1.0,19.0,8.0,3.4007410604219754
71,ISR,0,0,1,1,2000,39.0,0.0,0.0,1.0,12.0,15.0,3.4833979611961206
71,KWT,0,0,1,1,2000,,,,,,,
71,KGZ,0,0,1,1,2000,48.0,0.0,0.0,1.0,10.0,19.0,2.9741724117839756
71,QAT,0,0,1,1,2000,17.0,0.0,0.0,1.0,5.0,2.0,3.657046912402308
1,USA,36,39,26,101,2004,533.0,84.0,36.0,52.0,312.0,180.0,6.899115184824562
2,CHN,32,17,14,63,2004,372.0,41.0,14.0,12.0,209.0,119.0,5.669806304254156
4,AUS,17,16,17,50,2004,470.0,30.0,67.0,22.0,287.0,148.0,6.14349299279688
5,JPN,16,9,12,37,2004,305.0,13.0,14.0,43.0,163.0,94.0,5.390313955402455
6,DEU,13,16,20,49,2004,,,,,,,
7,FRA,11,9,13,33,2004,308.0,9.0,9.0,11.0,179.0,120.0,5.472377558674161
8,ITA,10,11,11,32,2004,364.0,20.0,34.0,35.0,228.0,105.0,5.920933096270404
10,GBR,9,9,12,30,2004,264.0,13.0,16.0,13.0,181.0,120.0,6.192558394037018
11,CUB,9,7,11,27,2004,151.0,32.0,8.0,22.0,98.0,37.0,5.992820804944769
12,HUN,8,6,3,17,2004,208.0,20.0,8.0,1.0,141.0,74.0,6.099636472306343
13,UKR,8,5,9,22,2004,239.0,6.0,8.0,27.0,149.0,89.0,5.308470235312633
14,ROU,8,5,6,19,2004,108.0,12.0,2.0,1.0,72.0,49.0,6.268148308706014
15,GRC,6,6,4,16,2004,,,,,,,
16,BRA,5,2,3,10,2004,241.0,17.0,19.0,3.0,165.0,73.0,6.114748794672986
17,NOR,5,0,1,6,2004,52.0,4.0,0.0,1.0,35.0,14.0,5.402218872024492
18,NLD,4,9,9,22,2004,,,,,,,
19,SWE,4,2,1,7,2004,114.0,2.0,1.0,2.0,86.0,52.0,5.85745330673924
20,ESP,3,11,6,20,2004,313.0,2.0,12.0,6.0,209.0,92.0,5.583584937963198
21,CAN,3,6,3,12,2004,262.0,2.0,10.0,1.0,152.0,101.0,4.622747171430794
22,TUR,3,3,4,10,2004,64.0,3.0,3.0,5.0,39.0,20.0,4.605170185988092
23,POL,3,2,5,10,2004,194.0,3.0,1.0,5.0,128.0,71.0,5.222357942873094
24,NZL,3,2,0,5,2004,148.0,4.0,2.0,0.0,90.0,38.0,4.760750259839041
25,THA,3,1,4,8,2004,42.0,3.0,1.0,4.0,27.0,12.0,5.208228186534152
26,BLR,2,5,6,13,2004,151.0,2.0,5.0,6.0,105.0,50.0,5.687842646932312
27,AUT,2,4,1,7,2004,74.0,3.0,3.0,0.0,52.0,34.0,5.507534614323596
28,ETH,2,3,2,7,2004,26.0,1.0,3.0,2.0,13.0,5.0,5.667901767369959
29,SVK,2,2,2,6,2004,64.0,3.0,2.0,5.0,43.0,23.0,5.792440624563147
31,TPE,2,2,1,5,2004,88.0,2.0,1.0,0.0,48.0,23.0,4.369678528750065
32,GEO,2,2,0,4,2004,32.0,2.0,2.0,0.0,25.0,8.0,5.9003743007972425
33,BGR,2,1,9,12,2004,,,,,,,
34,DNK,2,1,5,8,2004,,,,,,,
35,JAM,2,1,2,5,2004,47.0,1.0,1.0,4.0,34.0,22.0,7.152711139938951
35,UZB,2,1,2,5,2004,69.0,2.0,1.0,2.0,37.0,26.0,4.605170185988092
37,MAR,2,1,0,3,2004,55.0,1.0,1.0,0.0,24.0,6.0,3.893462066335387
38,ARG,2,0,4,6,2004,151.0,28.0,0.0,18.0,94.0,35.0,6.05381643654726
39,CHL,2,0,1,3,2004,,,,,,,
40,KAZ,1,4,3,8,2004,114.0,1.0,4.0,3.0,73.0,27.0,4.645566415689742
41,KEN,1,4,2,7,2004,46.0,1.0,4.0,2.0,21.0,6.0,4.755338779009443
43,ZAF,1,3,2,6,2004,,,,,,,
44,HRV,1,2,2,5,2004,,,,,,,
45,LTU,1,2,0,3,2004,59.0,1.0,2.0,0.0,39.0,13.0,5.4247343716300405
46,EGY,1,1,3,5,2004,96.0,1.0,1.0,3.0,45.0,21.0,4.149450219666353
46,CHE,1,1,3,5,2004,,,,,,,
48,IDN,1,1,2,4,2004,,,,,,,
49,ZWE,1,1,1,3,2004,,,,,,,
50,AZE,1,0,4,5,2004,36.0,1.0,0.0,3.0,17.0,5.0,4.413288094905255
51,BEL,1,0,2,3,2004,50.0,1.0,0.0,2.0,31.0,23.0,4.973583800867139
52,BHS,1,0,1,2,2004,,,,,,,
52,ISR,1,0,1,2,2004,36.0,1.0,0.0,1.0,24.0,9.0,4.797052277070929
54,CMR,1,0,0,1,2004,17.0,1.0,0.0,0.0,9.0,7.0,4.198831640165613
54,DOM,1,0,0,1,2004,33.0,1.0,0.0,0.0,16.0,9.0,4.2562936567465695
54,ARE,1,0,0,1,2004,,,,,,,
57,PRK,0,4,1,5,2004,36.0,0.0,4.0,0.0,12.0,17.0,3.965563215711968
58,LVA,0,4,0,4,2004,,,,,,,
59,MEX,0,3,1,4,2004,109.0,0.0,2.0,1.0,39.0,33.0,4.013680437329071
60,PRT,0,2,1,3,2004,,,,,,,
61,FIN,0,2,0,2,2004,53.0,0.0,2.0,0.0,29.0,12.0,4.5182801824788825
63,SVN,0,1,3,4,2004,,,,,,,
64,EST,0,1,2,3,2004,42.0,0.0,1.0,2.0,27.0,11.0,5.153404731939055
65,HKG,0,1,0,1,2004,32.0,0.0,0.0,0.0,27.0,17.0,5.1808164592366035
65,IND,0,1,0,1,2004,73.0,0.0,1.0,0.0,40.0,18.0,4.542085662892365
65,PRY,0,1,0,1,2004,,,,,,,
68,COL,0,0,2,2,2004,53.0,0.0,0.0,1.0,33.0,24.0,4.909285198270323
68,NGA,0,0,2,2,2004,,,,,,,
71,ERI,0,0,1,1,2004,4.0,0.0,0.0,0.0,3.0,3.0,8.059047825479162
71,MNG,0,0,1,1,2004,,,,,,,
71,TTO,0,0,1,1,2004,19.0,0.0,0.0,0.0,15.0,10.0,6.180623144352439
1,CHN,48,22,30,100,2008,583.0,41.0,42.0,40.0,286.0,158.0,5.268693849149326
2,USA,36,39,37,112,2008,587.0,89.0,76.0,60.0,328.0,186.0,7.06858319859501
4,GBR,19,13,19,51,2008,303.0,25.0,22.0,15.0,211.0,142.0,6.672177266167566
5,DEU,16,11,14,41,2008,,,,,,,
6,AUS,14,15,17,46,2008,432.0,16.0,21.0,62.0,289.0,168.0,6.662572607042956
8,JPN,9,8,8,25,2008,332.0,22.0,5.0,7.0,178.0,115.0,5.388881377278234
9,ITA,8,9,10,27,2008,333.0,8.0,11.0,9.0,221.0,123.0,6.230117623986893
10,FRA,7,16,20,43,2008,309.0,18.0,16.0,24.0,195.0,131.0,6.1029682561881025
11,NLD,7,5,4,16,2008,,,,,,,
12,UKR,7,4,11,22,2008,243.0,6.0,5.0,14.0,165.0,98.0,5.495882114965212
13,KEN,6,4,6,16,2008,46.0,6.0,4.0,5.0,20.0,6.0,5.155788360399711
14,ESP,5,11,3,19,2008,282.0,7.0,40.0,16.0,204.0,81.0,6.270870040494423
15,JAM,5,4,2,11,2008,50.0,4.0,3.0,2.0,35.0,20.0,7.368272297580948
16,POL,4,5,2,11,2008,257.0,5.0,10.0,1.0,170.0,97.0,5.223373965819178
17,ETH,4,2,1,7,2008,27.0,2.0,1.0,2.0,15.0,6.0,6.054945985280638
18,ROU,4,1,4,9,2008,101.0,4.0,1.0,8.0,63.0,38.0,6.1098297517069735
19,CUB,3,10,17,30,2008,158.0,2.0,34.0,10.0,98.0,34.0,5.858475996098775
20,CAN,3,9,8,20,2008,332.0,11.0,9.0,10.0,178.0,123.0,4.854848087638048
21,HUN,3,5,2,10,2008,169.0,13.0,4.0,3.0,125.0,62.0,6.935004806709878
22,NOR,3,5,1,9,2008,84.0,16.0,4.0,1.0,49.0,25.0,5.811286187080211
23,BRA,3,4,10,17,2008,265.0,14.0,34.0,24.0,194.0,88.0,6.664463269156352
24,BLR,3,4,7,14,2008,177.0,4.0,5.0,16.0,114.0,52.0,5.59385079088949
26,SVK,3,3,0,6,2008,57.0,4.0,5.0,1.0,46.0,19.0,6.948151508683788
27,NZL,3,2,4,9,2008,178.0,4.0,2.0,8.0,111.0,51.0,5.32957897928959
28,GEO,3,2,2,7,2008,35.0,3.0,0.0,3.0,21.0,8.0,5.1972634956151325
29,KAZ,2,3,4,9,2008,130.0,2.0,4.0,7.0,58.0,25.0,4.091516588320189
30,DNK,2,2,3,7,2008,,,,,,,
31,PRK,2,2,2,6,2008,58.0,1.0,1.0,3.0,21.0,12.0,4.009674041248252
31,THA,2,2,2,6,2008,47.0,2.0,2.0,0.0,23.0,13.0,4.801134874753543
33,MNG,2,2,0,4,2008,,,,,,,
34,CHE,2,1,4,7,2008,,,,,,,
35,ARG,2,0,4,6,2008,131.0,19.0,0.0,30.0,68.0,27.0,6.151944904945924
36,MEX,2,0,2,4,2008,83.0,2.0,0.0,0.0,48.0,34.0,4.910332065782483
37,BEL,2,0,0,2,2008,94.0,1.0,3.0,0.0,42.0,26.0,4.507187841605367
38,ZWE,1,3,0,4,2008,,,,,,,
39,SVN,1,2,2,5,2008,,,,,,,
40,AZE,1,1,4,6,2008,44.0,1.0,2.0,4.0,23.0,7.0,4.814496103533005
40,IDN,1,1,4,6,2008,,,,,,,
42,BGR,1,1,3,5,2008,,,,,,,
42,TUR,1,1,3,5,2008,67.0,1.0,3.0,3.0,46.0,17.0,5.223775136344701
