Rank,NOC,Gold,Silver,Bronze,Total,Year,Hosting
1,United States,11,7,2,20,1896,False
2,Greece,10,18,19,47,1896,True
3,Germany,6,5,2,13,1896,False
4,France,5,4,2,11,1896,False
5,Great Britain,2,3,2,7,1896,False
6,Hungary,2,1,3,6,1896,False
7,Austria,2,1,2,5,1896,False
8,Australia,2,0,0,2,1896,False
9,Denmark,1,2,3,6,1896,False
10,Switzerland,1,2,0,3,1896,False
11,Mixed team,1,0,1,2,1896,False
1,France,27,39,37,103,1900,True
2,United States,19,14,15,48,1900,False
3,Great Britain,15,7,9,31,1900,False
4,Mixed team,8,5,6,19,1900,False
5,Belgium,6,7,4,17,1900,False
6,Switzerland,6,2,1,9,1900,False
7,Germany,4,3,2,9,1900,False
8,Italy,3,2,0,5,1900,False
9,Australia,2,0,3,5,1900,False
10,Denmark,1,3,2,6,1900,False
11,Hungary,1,2,2,5,1900,False
12,Cuba,1,1,0,2,1900,False
13,Canada,1,0,1,2,1900,False
14,Spain,1,0,0,1,1900,False
14,Luxembourg,1,0,0,1,1900,False
16,Austria,0,3,3,6,1900,False
17,Norway,0,2,3,5,1900,False
17,Netherlands,0,2,3,5,1900,False
19,India,0,2,0,2,1900,False
20,Bohemia,0,1,1,2,1900,False
21,Sweden,0,0,1,1,1900,False
1,United States,76,78,77,231,1904,True
2,Germany,4,5,6,15,1904,False
3,Canada,4,1,1,6,1904,False
4,Cuba,3,0,0,3,1904,False
5,Hungary,2,1,1,4,1904,False
5,Mixed team,2,1,1,4,1904,False
7,Norway,2,0,0,2,1904,False
8,Austria,1,1,1,3,1904,False
9,Great Britain,1,1,0,2,1904,False
10,Switzerland,1,0,2,3,1904,False
11,Greece,1,0,1,2,1904,False
12,Australia,0,3,1,4,1904,False
13,France,0,1,0,1,1904,False
1,Great Britain,56,51,39,146,1908,True
2,United States,23,12,12,47,1908,False
3,Sweden,8,6,11,25,1908,False
4,France,5,5,9,19,1908,False
5,Germany,3,5,5,13,1908,False
6,Hungary,3,4,2,9,1908,False
7,Canada,3,3,10,16,1908,False
8,Norway,2,3,3,8,1908,False
9,Italy,2,2,0,4,1908,False
10,Belgium,1,5,2,8,1908,False
11,Australasia,1,2,2,5,1908,False
12,Russian Empire,1,2,0,3,1908,False
13,Finland,1,1,3,5,1908,False
14,South Africa,1,1,0,2,1908,False
15,Greece,0,3,1,4,1908,False
16,Denmark,0,2,3,5,1908,False
17,Bohemia,0,0,2,2,1908,False
17,Netherlands,0,0,2,2,1908,False
19,Austria,0,0,1,1,1908,False
1,United States,26,19,19,64,1912,False
2,Sweden,23,25,17,65,1912,True
3,Great Britain,10,15,16,41,1912,False
4,Finland,9,8,9,26,1912,False
5,France,7,4,3,14,1912,False
6,Germany,5,13,7,25,1912,False
7,South Africa,4,2,0,6,1912,False
8,Norway,3,2,5,10,1912,False
9,Canada,3,2,3,8,1912,False
9,Hungary,3,2,3,8,1912,False
11,Italy,3,1,2,6,1912,False
12,Australasia,2,2,3,7,1912,False
13,Belgium,2,1,3,6,1912,False
14,Denmark,1,6,5,12,1912,False
15,Greece,1,0,1,2,1912,False
16,Russian Empire,0,2,3,5,1912,False
17,Austria,0,2,2,4,1912,False
18,Netherlands,0,0,3,3,1912,False
1,United States,41,27,27,95,1920,False
2,Sweden,19,20,25,64,1920,False
3,Finland,15,10,9,34,1920,False
4,Great Britain,14,15,13,42,1920,False
5,Belgium,14,11,11,36,1920,True
6,Norway,13,9,9,31,1920,False
7,Italy,13,5,5,23,1920,False
8,France,9,19,13,41,1920,False
9,Netherlands,4,2,5,11,1920,False
10,Denmark,3,9,1,13,1920,False
11,South Africa,3,4,3,10,1920,False
12,Canada,3,3,3,9,1920,False
13,Switzerland,2,2,7,11,1920,False
14,Estonia,1,2,0,3,1920,False
15,Brazil,1,1,1,3,1920,False
16,Australia,0,2,1,3,1920,False
17,Japan,0,2,0,2,1920,False
17,Spain,0,2,0,2,1920,False
19,Greece,0,1,0,1,1920,False
19,Luxembourg,0,1,0,1,1920,False
21,Czechoslovakia,0,0,2,2,1920,False
22,New Zealand,0,0,1,1,1920,False
1,United States,45,27,27,99,1924,False
2,Finland,14,13,10,37,1924,False
3,France,13,15,10,38,1924,True
4,Great Britain,9,13,12,34,1924,False
5,Italy,8,3,5,16,1924,False
6,Switzerland,7,8,10,25,1924,False
7,Norway,5,2,3,10,1924,False
8,Sweden,4,13,12,29,1924,False
9,Netherlands,4,1,5,10,1924,False
10,Belgium,3,7,3,13,1924,False
11,Australia,3,1,2,6,1924,False
12,Denmark,2,5,2,9,1924,False
13,Hungary,2,3,4,9,1924,False
14,Yugoslavia,2,0,0,2,1924,False
15,Czechoslovakia,1,4,5,10,1924,False
16,Argentina,1,3,2,6,1924,False
17,Estonia,1,1,4,6,1924,False
18,South Africa,1,1,1,3,1924,False
19,Uruguay,1,0,0,1,1924,False
20,Austria,0,3,1,4,1924,False
20,Canada,0,3,1,4,1924,False
22,Poland,0,1,1,2,1924,False
23,Haiti,0,0,1,1,1924,False
23,Japan,0,0,1,1,1924,False
23,New Zealand,0,0,1,1,1924,False
23,Portugal,0,0,1,1,1924,False
23,Romania,0,0,1,1,1924,False
1,United States,22,18,16,56,1928,False
2,Germany,10,7,14,31,1928,False
3,Finland,8,8,9,25,1928,False
4,Sweden,7,6,12,25,1928,False
5,Italy,7,5,7,19,1928,False
6,Switzerland,7,4,4,15,1928,False
7,France,6,10,5,21,1928,False
8,Netherlands,6,9,4,19,1928,True
9,Hungary,4,5,0,9,1928,False
10,Canada,4,4,7,15,1928,False
11,Great Britain,3,10,7,20,1928,False
12,Argentina,3,3,1,7,1928,False
13,Denmark,3,1,2,6,1928,False
14,Czechoslovakia,2,5,2,9,1928,False
15,Japan,2,2,1,5,1928,False
16,Estonia,2,1,2,5,1928,False
17,Egypt,2,1,1,4,1928,False
18,Austria,2,0,1,3,1928,False
19,Australia,1,2,1,4,1928,False
19,Norway,1,2,1,4,1928,False
21,Poland,1,1,3,5,1928,False
21,Yugoslavia,1,1,3,5,1928,False
23,South Africa,1,0,2,3,1928,False
24,India,1,0,0,1,1928,False
24,Ireland,1,0,0,1,1928,False
24,New Zealand,1,0,0,1,1928,False
24,Spain,1,0,0,1,1928,False
24,Uruguay,1,0,0,1,1928,False
29,Belgium,0,1,2,3,1928,False
30,Chile,0,1,0,1,1928,False
30,Haiti,0,1,0,1,1928,False
32,Philippines,0,0,1,1,1928,False
32,Portugal,0,0,1,1,1928,False
1,United States ,44,36,30,110,1932,False
2,Italy ,12,12,12,36,1932,False
3,France ,11,5,4,20,1932,False
4,Sweden ,10,5,9,24,1932,False
5,Japan ,7,7,4,18,1932,False
6,Hungary ,6,5,5,16,1932,False
7,Germany ,5,12,7,24,1932,False
8,Finland ,5,8,12,25,1932,False
9,Great Britain ,5,7,5,17,1932,False
10,Poland ,3,2,4,9,1932,False
11,Australia ,3,1,1,5,1932,False
12,Argentina ,3,1,0,4,1932,False
13,Canada ,2,5,9,16,1932,False
14,Netherlands ,2,5,1,8,1932,False
15,South Africa ,2,0,3,5,1932,False
16,Ireland ,2,0,0,2,1932,False
17,Czechoslovakia ,1,3,2,6,1932,False
18,Austria ,1,1,3,5,1932,False
19,India ,1,0,0,1,1932,False
20,Denmark ,0,5,3,8,1932,False
21,Mexico ,0,2,0,2,1932,False
22,Latvia ,0,1,0,1,1932,False
22,New Zealand ,0,1,0,1,1932,False
22,Switzerland ,0,1,0,1,1932,False
25,Philippines ,0,0,3,3,1932,False
26,Belgium ,0,0,1,1,1932,False
26,Spain ,0,0,1,1,1932,False
26,Uruguay ,0,0,1,1,1932,False
1,Germany,38,31,32,101,1936,True
2,United States,24,21,12,57,1936,False
3,Hungary,10,1,5,16,1936,False
4,Italy,9,13,5,27,1936,False
5,Finland,8,6,6,20,1936,False
6,France,7,6,6,19,1936,False
7,Sweden,6,5,10,21,1936,False
8,Japan,6,4,10,20,1936,False
9,Netherlands,6,4,7,17,1936,False
10,Austria,5,7,5,17,1936,False
11,Switzerland,4,9,5,18,1936,False
12,Great Britain,4,7,3,14,1936,False
13,Czechoslovakia,3,5,1,9,1936,False
14,Argentina,2,2,3,7,1936,False
14,Estonia,2,2,3,7,1936,False
16,Egypt,2,1,2,5,1936,False
17,Canada,1,3,5,9,1936,False
18,Norway,1,3,2,6,1936,False
